url,title,duration_seconds,duration_minutes,view_count,description,transcript_downloaded,summary_done
https://www.youtube.com/watch?v=1Rd9Iuxjb5k,Charlamagne tha God Opens Up About His Depression & Childhood Trauma!,5599,93.32,348357,"Charlamagne tha God is co-host of the American radio programme ‘The Breakfast Club’ on Power 105.1, reaching 8 million listeners each month. He is also a New York Times best-selling author...",,
https://www.youtube.com/watch?v=5o-tRub-0pQ,"The Exercise Neuroscientist: NEW RESEARCH, The Shocking Link Between Exercise And Dementia!",5456,90.93,10201178,"Dr Wendy Suzuki is a Professor of Neural Science and Psychology at New York University and the bestselling author of books such as, ‘Good Anxiety’ and ‘Healthy Brain, Happy Life’. ...",,
https://www.youtube.com/watch?v=-MGyiqVjdKI,The Divorce Expert: 86% Of People Who Divorce Remarry! Why Sex Is Causing Divorces!,8403,140.05,9384748,"James Sexton is America's top divorce lawyer, and bestselling author of romantic advice books 'How to Stay in Love' and 'If You're in My Office, It's Already Too Late'.  00:00 Intro 02:02 I...",,
https://www.youtube.com/watch?v=4DWKf5RqU-s,The Glucose Expert: The Only Proven Way To Lose Weight Fast! Calorie Counting Is A Load of BS!,6747,112.45,5656556,"Robert Lustig is a Professor of Paediatric Endocrinology and a public health expert on the impact of sugar on our health. He is the author of bestselling books such as, ‘Fat Chance’, ‘Metabol...",,
https://www.youtube.com/watch?v=asmaLnhaFiY,Minute By Minute Of What Happens If A Nuclear Bomb Hits & How To Survive It!,7902,131.7,12263453,"Annie Jacobsen is an investigative journalist, New York Times bestselling author, and a 2016 Pulitzer Prize finalist. Her books include, ‘Area 51’, ‘Operation Paperclip’, and ‘The...",,
https://www.youtube.com/watch?v=uTs6SFeny5Q,The Male Fertility Doctor: Delaying Having Kids Is Impacting Your Future Kids! Dr Michael Eisenberg,5519,91.98,572795,"Dr Michael Eisenberg is a Professor of Urology at Stanford University, and is a male fertility and sexual function specialist  Topics: 00:00 Intro 02:02 Why do you do what you do? 02:58 What...",,
https://www.youtube.com/watch?v=-xjneW1XZBs,Rebel Wilson: The Truth About Sacha Baron Cohen! Trauma Was The Reason I Couldn't Lose Weight!,5690,94.83,1373341,"Rebel Wilson is an Australian actress and producer best known for her roles in films such as, ‘Bridesmaids’, ‘Pitch Perfect’ and ‘Jojo Rabbit’.  00:00 Intro 02:14 Being A Very Shy...",,
https://www.youtube.com/watch?v=hbdQPmjPHhg,Russ Cook (Hardest Geezer): I Haven't Told The Whole Truth About Africa!,7383,123.05,1171385,"Russ Cook, also known as the ‘Hardest Geezer’, is an ultra-endurance athlete and the first person to run the entire length of Africa, raising over £1 million for charity. He is also the...",,
https://www.youtube.com/watch?v=0YMnHNIuK3M,Johann Hari: They’re Lying To You About The Side Effects Of Ozempic!,8868,147.8,2358493,"Johann Hari is a New York Times best-selling author, his books include, ‘Chasing the Scream’, ‘Lost Connections’, and ‘Stolen Focus’. He has written for the world’s leading newspapers...",,
https://www.youtube.com/watch?v=IxVNR0Om-lA,Mo Gawdat: A WARNING about Stress & Anxiety! This Is Causing 70% Of Heart Attacks In Young People!,10426,173.77,1205955,"Mo Gawdat is the former Chief Business Officer for Google X, the founder of ‘One Billion Happy’ foundation, and co-founder of ‘Unstressable’. He is the bestselling author of books such...",,
